;fl_date;mkt_carrier_fl_num;origin_city_name;dest_city_name;distance;dep_delay;arr_delay;carrier_delay;weather_delay;nas_delay;security_delay;late_aircraft_delay
0;2019-11-14;4696;Jacksonville, FL;Miami, FL;335.0;-3.0;19.0;0.0;0.0;19.0;0.0;0.0
1;2019-11-14;4696;Miami, FL;Jacksonville, FL;335.0;-4.0;-4.0;;;;;
2;2019-11-14;4697;Burlington, VT;Washington, DC;437.0;-7.0;-12.0;;;;;
3;2019-11-14;4698;Washington, DC;Portland, ME;482.0;-6.0;-15.0;;;;;
4;2019-11-14;4698;Portland, ME;Washington, DC;482.0;-3.0;-1.0;;;;;
5;2019-11-14;4699;Detroit, MI;New York, NY;502.0;-10.0;-20.0;;;;;
6;2019-11-14;4699;New York, NY;Detroit, MI;502.0;-5.0;-12.0;;;;;
7;2019-11-14;4700;Detroit, MI;New York, NY;502.0;-7.0;-6.0;;;;;
8;2019-11-14;4700;New York, NY;Detroit, MI;502.0;2.0;-4.0;;;;;
9;2019-11-14;4702;Atlanta, GA;Washington, DC;547.0;-9.0;3.0;;;;;
10;2019-11-14;4702;Washington, DC;Atlanta, GA;547.0;-9.0;-11.0;;;;;
11;2019-11-14;4703;New York, NY;Richmond, VA;292.0;-4.0;-8.0;;;;;
12;2019-11-14;4704;Washington, DC;Columbus, OH;323.0;-4.0;-10.0;;;;;
13;2019-11-14;4705;Jacksonville, FL;Philadelphia, PA;742.0;0.0;-13.0;;;;;
14;2019-11-14;4708;Nashville, TN;New York, NY;764.0;5.0;13.0;;;;;
15;2019-11-14;4708;New York, NY;Nashville, TN;764.0;13.0;11.0;;;;;
16;2019-11-14;4709;Key West, FL;Miami, FL;126.0;1.0;-4.0;;;;;
17;2019-11-14;4709;Miami, FL;Key West, FL;126.0;-3.0;14.0;;;;;
18;2019-11-14;4710;Burlington, VT;Washington, DC;437.0;-10.0;-25.0;;;;;
19;2019-11-14;4710;Washington, DC;Burlington, VT;437.0;-3.0;-12.0;;;;;
20;2019-11-14;4713;Philadelphia, PA;Nashville, TN;675.0;-6.0;1.0;;;;;
21;2019-11-14;4714;Nashville, TN;Philadelphia, PA;675.0;-3.0;-22.0;;;;;
22;2019-11-14;4231;Chicago, IL;Jacksonville, FL;864.0;-10.0;-12.0;;;;;
23;2019-11-14;4232;Lubbock, TX;Houston, TX;458.0;-9.0;-20.0;;;;;
24;2019-11-14;4233;Newark, NJ;Washington, DC;199.0;-6.0;-8.0;;;;;
25;2019-11-14;4234;Newark, NJ;St. Louis, MO;872.0;29.0;27.0;27.0;0.0;0.0;0.0;0.0
26;2019-11-14;4235;New York, NY;Cleveland, OH;419.0;-5.0;1.0;;;;;
27;2019-11-14;4236;Houston, TX;Lafayette, LA;201.0;19.0;26.0;19.0;0.0;7.0;0.0;0.0
28;2019-11-14;4237;Houston, TX;Tulsa, OK;429.0;-5.0;-2.0;;;;;
29;2019-11-14;4238;Newark, NJ;Norfolk, VA;284.0;-6.0;-6.0;;;;;
30;2019-11-14;4239;Wichita, KS;Houston, TX;542.0;-3.0;-9.0;;;;;
31;2019-11-14;4240;Indianapolis, IN;Newark, NJ;645.0;-10.0;-14.0;;;;;
32;2019-11-14;4241;Washington, DC;Newark, NJ;199.0;-7.0;-8.0;;;;;
33;2019-11-14;4242;Houston, TX;St. Louis, MO;667.0;-3.0;5.0;;;;;
34;2019-11-14;4244;Cincinnati, OH;Chicago, IL;264.0;60.0;47.0;47.0;0.0;0.0;0.0;0.0
35;2019-11-14;4245;Buffalo, NY;Newark, NJ;282.0;233.0;239.0;159.0;0.0;6.0;0.0;74.0
36;2019-11-14;4246;Houston, TX;Laredo, TX;301.0;-8.0;-11.0;;;;;
37;2019-11-14;4247;Houston, TX;Lafayette, LA;201.0;19.0;21.0;2.0;0.0;11.0;0.0;8.0
38;2019-11-14;4249;Lafayette, LA;Houston, TX;201.0;-9.0;-2.0;;;;;
39;2019-11-14;4250;Houston, TX;Mobile, AL;427.0;-4.0;-7.0;;;;;
40;2019-11-14;4252;Pensacola, FL;Houston, TX;489.0;-7.0;-21.0;;;;;
41;2019-11-14;4254;Newark, NJ;St. Louis, MO;872.0;-4.0;-10.0;;;;;
42;2019-11-14;4257;Newark, NJ;Cleveland, OH;404.0;-11.0;-23.0;;;;;
43;2019-11-14;4258;Amarillo, TX;Houston, TX;517.0;-5.0;0.0;;;;;
44;2019-11-14;4259;Houston, TX;Shreveport, LA;192.0;-7.0;-17.0;;;;;
45;2019-11-14;4259;St. Louis, MO;Houston, TX;667.0;-6.0;-15.0;;;;;
46;2019-11-14;4261;St. Louis, MO;Houston, TX;667.0;-7.0;-16.0;;;;;
47;2019-11-14;4262;Houston, TX;Indianapolis, IN;844.0;4.0;-2.0;;;;;
48;2019-11-14;4264;Houston, TX;Lake Charles, LA;127.0;-9.0;-16.0;;;;;
49;2019-11-14;4264;St. Louis, MO;Houston, TX;667.0;-9.0;-11.0;;;;;
50;2019-11-14;4265;Chicago, IL;Little Rock, AR;552.0;-8.0;-7.0;;;;;
51;2019-11-14;4266;Little Rock, AR;Houston, TX;374.0;27.0;23.0;0.0;0.0;0.0;0.0;23.0
52;2019-11-14;4267;Chicago, IL;Charlotte, NC;599.0;-2.0;5.0;;;;;
53;2019-11-14;4268;Baton Rouge, LA;Houston, TX;253.0;25.0;28.0;0.0;0.0;3.0;0.0;25.0
54;2019-11-14;4270;Houston, TX;Tulsa, OK;429.0;-5.0;15.0;0.0;0.0;15.0;0.0;0.0
55;2019-11-14;4271;Jackson/Vicksburg, MS;Houston, TX;351.0;-18.0;-37.0;;;;;
56;2019-11-14;4272;Madison, WI;Newark, NJ;799.0;-5.0;-7.0;;;;;
57;2019-11-14;4273;Lincoln, NE;Chicago, IL;466.0;-8.0;2.0;;;;;
58;2019-11-14;4274;Newark, NJ;Norfolk, VA;284.0;0.0;15.0;0.0;0.0;15.0;0.0;0.0
59;2019-11-14;4277;Norfolk, VA;Newark, NJ;284.0;46.0;33.0;0.0;0.0;33.0;0.0;0.0
60;2019-11-14;4279;Newark, NJ;Greer, SC;594.0;-5.0;4.0;;;;;
61;2019-11-14;4280;Amarillo, TX;Houston, TX;517.0;-10.0;7.0;;;;;
62;2019-11-14;4280;Houston, TX;Gulfport/Biloxi, MS;376.0;-9.0;-5.0;;;;;
63;2019-11-14;4284;Chicago, IL;St. Louis, MO;258.0;54.0;42.0;42.0;0.0;0.0;0.0;0.0
64;2019-11-14;4285;Chicago, IL;Lincoln, NE;466.0;-7.0;-12.0;;;;;
65;2019-11-14;4287;Chicago, IL;Peoria, IL;130.0;-11.0;-17.0;;;;;
66;2019-11-14;4291;Detroit, MI;Chicago, IL;235.0;-5.0;15.0;0.0;0.0;15.0;0.0;0.0
67;2019-11-14;4291;Chicago, IL;New York, NY;733.0;-8.0;-22.0;;;;;
68;2019-11-14;4294;Newark, NJ;Savannah, GA;708.0;-8.0;-11.0;;;;;
69;2019-11-14;4295;Lafayette, LA;Houston, TX;201.0;-9.0;-25.0;;;;;
70;2019-11-14;4297;New York, NY;Cleveland, OH;419.0;-6.0;-1.0;;;;;
71;2019-11-14;4299;Bangor, ME;Newark, NJ;393.0;-12.0;-3.0;;;;;
72;2019-11-14;4300;Richmond, VA;Newark, NJ;277.0;-9.0;-22.0;;;;;
73;2019-11-14;4302;New York, NY;Cleveland, OH;419.0;-8.0;-18.0;;;;;
74;2019-11-14;4303;Chicago, IL;Grand Rapids, MI;137.0;2.0;-3.0;;;;;
75;2019-11-14;4306;Houston, TX;Jackson/Vicksburg, MS;351.0;-7.0;-13.0;;;;;
76;2019-11-14;4308;Cleveland, OH;New York, NY;419.0;-4.0;-20.0;;;;;
77;2019-11-14;4309;Mobile, AL;Houston, TX;427.0;-2.0;-13.0;;;;;
78;2019-11-14;4310;Valparaiso, FL;Houston, TX;528.0;-13.0;-25.0;;;;;
79;2019-11-14;4315;Jacksonville, FL;Chicago, IL;864.0;-6.0;-27.0;;;;;
80;2019-11-14;4316;Houston, TX;Lake Charles, LA;127.0;-4.0;-12.0;;;;;
81;2019-11-14;4318;Houston, TX;Harlingen/San Benito, TX;295.0;-5.0;-13.0;;;;;
82;2019-11-14;4319;Peoria, IL;Chicago, IL;130.0;-7.0;-14.0;;;;;
83;2019-11-14;4321;Alexandria, LA;Houston, TX;190.0;-13.0;-33.0;;;;;
84;2019-11-14;4324;Rochester, NY;Newark, NJ;246.0;24.0;14.0;;;;;
85;2019-11-14;4325;Lexington, KY;Chicago, IL;323.0;-1.0;-8.0;;;;;
86;2019-11-14;4326;Savannah, GA;Chicago, IL;773.0;-1.0;-4.0;;;;;
87;2019-11-14;4327;Knoxville, TN;Houston, TX;771.0;-7.0;-17.0;;;;;
88;2019-11-14;4328;Baton Rouge, LA;Houston, TX;253.0;-16.0;-12.0;;;;;
89;2019-11-14;4329;Cleveland, OH;Newark, NJ;404.0;49.0;49.0;1.0;0.0;0.0;0.0;48.0
90;2019-11-14;4330;Brownsville, TX;Houston, TX;308.0;-9.0;-7.0;;;;;
91;2019-11-14;4332;Cleveland, OH;Newark, NJ;404.0;-4.0;-15.0;;;;;
92;2019-11-14;4333;Houston, TX;Springfield, MO;513.0;20.0;13.0;;;;;
93;2019-11-14;4334;Cleveland, OH;Newark, NJ;404.0;-6.0;-19.0;;;;;
94;2019-11-14;4335;Cincinnati, OH;Chicago, IL;264.0;-8.0;-31.0;;;;;
95;2019-11-14;4336;Houston, TX;Jackson/Vicksburg, MS;351.0;-3.0;-6.0;;;;;
96;2019-11-14;4337;St. Louis, MO;Houston, TX;667.0;-2.0;-20.0;;;;;
97;2019-11-14;4338;Newark, NJ;Bangor, ME;393.0;46.0;33.0;0.0;0.0;0.0;0.0;33.0
98;2019-11-14;4340;Tulsa, OK;Houston, TX;429.0;-10.0;-18.0;;;;;
99;2019-11-14;4343;Newark, NJ;Norfolk, VA;284.0;-4.0;-14.0;;;;;
100;2019-11-14;4344;Monroe, LA;Houston, TX;262.0;-10.0;-10.0;;;;;
101;2019-11-14;4345;Providence, RI;Newark, NJ;160.0;-2.0;-10.0;;;;;
102;2019-11-14;4348;Grand Rapids, MI;Newark, NJ;605.0;-5.0;-7.0;;;;;
103;2019-11-14;4349;Nashville, TN;Houston, TX;657.0;-4.0;-21.0;;;;;
104;2019-11-14;4350;Laredo, TX;Houston, TX;301.0;-15.0;-6.0;;;;;
105;2019-11-14;4352;Brownsville, TX;Houston, TX;308.0;-14.0;-15.0;;;;;
106;2019-11-14;4353;Alexandria, LA;Houston, TX;190.0;-13.0;-21.0;;;;;
107;2019-11-14;4355;St. Louis, MO;Newark, NJ;872.0;27.0;57.0;27.0;0.0;30.0;0.0;0.0
108;2019-11-14;4356;Houston, TX;Indianapolis, IN;844.0;-4.0;-12.0;;;;;
109;2019-11-14;4357;Newark, NJ;Buffalo, NY;282.0;-5.0;1.0;;;;;
110;2019-11-14;4358;Houston, TX;Tulsa, OK;429.0;-2.0;3.0;;;;;
111;2019-11-14;4359;Houston, TX;Jackson/Vicksburg, MS;351.0;-5.0;-7.0;;;;;
112;2019-11-14;4360;Newark, NJ;Columbus, OH;463.0;-6.0;15.0;0.0;0.0;15.0;0.0;0.0
113;2019-11-14;4361;Greer, SC;Newark, NJ;594.0;112.0;106.0;106.0;0.0;0.0;0.0;0.0
114;2019-11-14;4363;Shreveport, LA;Houston, TX;192.0;-6.0;-16.0;;;;;
115;2019-11-14;4364;Madison, WI;Newark, NJ;799.0;-1.0;19.0;0.0;0.0;19.0;0.0;0.0
116;2019-11-14;4365;Cleveland, OH;New York, NY;419.0;-7.0;-25.0;;;;;
117;2019-11-14;4367;Newark, NJ;Washington, DC;199.0;-10.0;-13.0;;;;;
118;2019-11-14;4368;St. Louis, MO;Newark, NJ;872.0;-8.0;-7.0;;;;;
119;2019-11-14;4369;Chicago, IL;Colorado Springs, CO;911.0;-6.0;-25.0;;;;;
120;2019-11-14;4370;Tulsa, OK;Chicago, IL;585.0;-9.0;-19.0;;;;;
121;2019-11-14;4373;Houston, TX;Pensacola, FL;489.0;1.0;-1.0;;;;;
122;2019-11-14;4374;Jackson/Vicksburg, MS;Houston, TX;351.0;6.0;-6.0;;;;;
123;2019-11-14;4375;Houston, TX;Huntsville, AL;595.0;-8.0;-13.0;;;;;
124;2019-11-14;4378;Mission/McAllen/Edinburg, TX;Houston, TX;316.0;-12.0;-21.0;;;;;
125;2019-11-14;4380;Newark, NJ;Greensboro/High Point, NC;445.0;-6.0;-7.0;;;;;
126;2019-11-14;4381;Newark, NJ;Madison, WI;799.0;-13.0;-24.0;;;;;
127;2019-11-14;4382;Cincinnati, OH;Chicago, IL;264.0;-11.0;-38.0;;;;;
128;2019-11-14;4384;Houston, TX;Cincinnati, OH;871.0;-4.0;-4.0;;;;;
129;2019-11-14;4385;Houston, TX;Knoxville, TN;771.0;-4.0;-11.0;;;;;
130;2019-11-14;4385;Lake Charles, LA;Houston, TX;127.0;-3.0;-10.0;;;;;
131;2019-11-14;4386;Tulsa, OK;Chicago, IL;585.0;-8.0;-25.0;;;;;
132;2019-11-14;4387;Houston, TX;Brownsville, TX;308.0;-1.0;-2.0;;;;;
133;2019-11-14;4388;Newark, NJ;Syracuse, NY;195.0;-5.0;-1.0;;;;;
134;2019-11-14;4390;Houston, TX;Laredo, TX;301.0;0.0;-3.0;;;;;
135;2019-11-14;4390;Knoxville, TN;Houston, TX;771.0;-11.0;-30.0;;;;;
136;2019-11-14;4392;Laredo, TX;Houston, TX;301.0;-1.0;7.0;;;;;
137;2019-11-14;4393;Houston, TX;Pensacola, FL;489.0;2.0;5.0;;;;;
138;2019-11-14;4394;Newark, NJ;Washington, DC;199.0;-6.0;-10.0;;;;;
139;2019-11-14;4395;Newark, NJ;Portland, ME;284.0;-5.0;-9.0;;;;;
140;2019-11-14;4396;Lafayette, LA;Houston, TX;201.0;-9.0;-9.0;;;;;
141;2019-11-14;4397;Knoxville, TN;Chicago, IL;475.0;-10.0;-8.0;;;;;
142;2019-11-14;4400;Little Rock, AR;Chicago, IL;552.0;8.0;14.0;;;;;
143;2019-11-14;4401;Cincinnati, OH;Houston, TX;871.0;-6.0;-18.0;;;;;
144;2019-11-14;4403;Little Rock, AR;Houston, TX;374.0;-9.0;-25.0;;;;;
145;2019-11-14;4404;Newark, NJ;Knoxville, TN;631.0;-5.0;16.0;0.0;0.0;16.0;0.0;0.0
146;2019-11-14;4405;Baton Rouge, LA;Houston, TX;253.0;5.0;-10.0;;;;;
147;2019-11-14;4408;Houston, TX;Minneapolis, MN;1034.0;-6.0;16.0;0.0;0.0;16.0;0.0;0.0
148;2019-11-14;4411;Houston, TX;Harlingen/San Benito, TX;295.0;-3.0;-16.0;;;;;
149;2019-11-14;4413;Newark, NJ;Grand Rapids, MI;605.0;-5.0;-17.0;;;;;
150;2019-11-14;4414;Newark, NJ;Madison, WI;799.0;-6.0;-13.0;;;;;
151;2019-11-14;4415;Little Rock, AR;Houston, TX;374.0;-12.0;-20.0;;;;;
152;2019-11-14;4418;Houston, TX;Jacksonville, FL;817.0;-7.0;-14.0;;;;;
153;2019-11-14;4420;Houston, TX;Nashville, TN;657.0;-10.0;-6.0;;;;;
154;2019-11-14;4420;Lafayette, LA;Houston, TX;201.0;-7.0;-13.0;;;;;
155;2019-11-14;4421;Newark, NJ;Burlington, VT;266.0;-3.0;-7.0;;;;;
156;2019-11-14;4423;Houston, TX;College Station/Bryan, TX;74.0;-1.0;-3.0;;;;;
157;2019-11-14;4425;Houston, TX;St. Louis, MO;667.0;-3.0;4.0;;;;;
158;2019-11-14;4426;Richmond, VA;Newark, NJ;277.0;-8.0;6.0;;;;;
159;2019-11-14;4427;Houston, TX;Brownsville, TX;308.0;-2.0;-6.0;;;;;
160;2019-11-14;4429;Indianapolis, IN;Newark, NJ;645.0;8.0;-1.0;;;;;
161;2019-11-14;4432;Houston, TX;Baton Rouge, LA;253.0;-5.0;-7.0;;;;;
162;2019-11-14;4433;Houston, TX;Little Rock, AR;374.0;33.0;40.0;33.0;0.0;7.0;0.0;0.0
163;2019-11-14;4434;St. Louis, MO;Newark, NJ;872.0;33.0;23.0;0.0;0.0;0.0;0.0;23.0
164;2019-11-14;4436;Houston, TX;Corpus Christi, TX;201.0;-8.0;-4.0;;;;;
165;2019-11-14;4437;Houston, TX;Gulfport/Biloxi, MS;376.0;0.0;-4.0;;;;;
166;2019-11-14;4441;Chicago, IL;Atlanta, GA;606.0;-7.0;-11.0;;;;;
167;2019-11-14;4444;College Station/Bryan, TX;Houston, TX;74.0;-2.0;7.0;;;;;
168;2019-11-14;4444;Houston, TX;Shreveport, LA;192.0;66.0;56.0;56.0;0.0;0.0;0.0;0.0
169;2019-11-14;4445;Lafayette, LA;Houston, TX;201.0;-4.0;-7.0;;;;;
170;2019-11-14;4446;Houston, TX;Monroe, LA;262.0;-4.0;-4.0;;;;;
171;2019-11-14;4447;Houston, TX;Valparaiso, FL;528.0;-4.0;-8.0;;;;;
172;2019-11-14;4449;Chicago, IL;Buffalo, NY;473.0;73.0;80.0;34.0;0.0;7.0;0.0;39.0
173;2019-11-14;4450;Tulsa, OK;Houston, TX;429.0;-8.0;1.0;;;;;
174;2019-11-14;4451;Gulfport/Biloxi, MS;Houston, TX;376.0;-1.0;-15.0;;;;;
175;2019-11-14;4451;Houston, TX;Alexandria, LA;190.0;-7.0;-16.0;;;;;
176;2019-11-14;4453;Syracuse, NY;Newark, NJ;195.0;1.0;-11.0;;;;;
177;2019-11-14;4454;Huntsville, AL;Houston, TX;595.0;-7.0;-14.0;;;;;
178;2019-11-14;4458;Knoxville, TN;Newark, NJ;631.0;-5.0;3.0;;;;;
179;2019-11-14;4465;Columbus, OH;Newark, NJ;463.0;-3.0;30.0;0.0;0.0;30.0;0.0;0.0
180;2019-11-14;4467;Cleveland, OH;Washington, DC;310.0;-10.0;-6.0;;;;;
181;2019-11-14;4468;New York, NY;Cleveland, OH;419.0;18.0;11.0;;;;;
182;2019-11-14;4469;Detroit, MI;Chicago, IL;235.0;-1.0;-28.0;;;;;
183;2019-11-14;4470;Newark, NJ;Grand Rapids, MI;605.0;6.0;4.0;;;;;
184;2019-11-14;4472;Jacksonville, FL;Newark, NJ;820.0;-1.0;-12.0;;;;;
185;2019-11-14;4473;Houston, TX;Mobile, AL;427.0;-4.0;-7.0;;;;;
186;2019-11-14;4475;Jackson/Vicksburg, MS;Houston, TX;351.0;-5.0;-6.0;;;;;
187;2019-11-14;4488;Houston, TX;Lubbock, TX;458.0;-3.0;-14.0;;;;;
188;2019-11-14;4156;Chicago, IL;Richmond, VA;642.0;2.0;4.0;;;;;
189;2019-11-14;4156;Richmond, VA;Chicago, IL;642.0;7.0;-10.0;;;;;
190;2019-11-14;4157;Chicago, IL;Traverse City, MI;224.0;0.0;-12.0;;;;;
191;2019-11-14;4157;Traverse City, MI;Chicago, IL;224.0;7.0;11.0;;;;;
192;2019-11-14;3301;Dallas/Fort Worth, TX;Mobile, AL;539.0;-4.0;8.0;;;;;
193;2019-11-14;3301;Mobile, AL;Dallas/Fort Worth, TX;539.0;0.0;-11.0;;;;;
194;2019-11-14;3303;Dallas/Fort Worth, TX;Baton Rouge, LA;383.0;5.0;-5.0;;;;;
195;2019-11-14;3304;Baton Rouge, LA;Dallas/Fort Worth, TX;383.0;-5.0;-10.0;;;;;
196;2019-11-14;3305;Baton Rouge, LA;Dallas/Fort Worth, TX;383.0;-6.0;-9.0;;;;;
197;2019-11-14;3306;Dallas/Fort Worth, TX;Shreveport, LA;190.0;-3.0;9.0;;;;;
198;2019-11-14;3307;Chicago, IL;Madison, WI;109.0;15.0;14.0;;;;;
199;2019-11-14;3308;Shreveport, LA;Dallas/Fort Worth, TX;190.0;-7.0;-15.0;;;;;
200;2019-11-14;3309;Chicago, IL;Grand Rapids, MI;137.0;-3.0;15.0;0.0;0.0;15.0;0.0;0.0
201;2019-11-14;3310;Dallas/Fort Worth, TX;Baton Rouge, LA;383.0;-1.0;5.0;;;;;
202;2019-11-14;3311;Abilene, TX;Dallas/Fort Worth, TX;158.0;-11.0;-27.0;;;;;
203;2019-11-14;3311;Dallas/Fort Worth, TX;Abilene, TX;158.0;-5.0;-10.0;;;;;
204;2019-11-14;3314;Birmingham, AL;Dallas/Fort Worth, TX;597.0;-5.0;-17.0;;;;;
205;2019-11-14;3314;Dallas/Fort Worth, TX;Birmingham, AL;597.0;-7.0;-20.0;;;;;
206;2019-11-14;3315;Dallas/Fort Worth, TX;Mobile, AL;539.0;-4.0;-13.0;;;;;
207;2019-11-14;3315;Mobile, AL;Dallas/Fort Worth, TX;539.0;-3.0;-17.0;;;;;
208;2019-11-14;3316;Waco, TX;Dallas/Fort Worth, TX;89.0;-1.0;-8.0;;;;;
209;2019-11-14;3317;Chicago, IL;New Orleans, LA;836.0;91.0;90.0;61.0;0.0;0.0;0.0;29.0
210;2019-11-14;3319;Dallas/Fort Worth, TX;Abilene, TX;158.0;-4.0;-15.0;;;;;
211;2019-11-14;3320;New York, NY;Cincinnati, OH;589.0;10.0;8.0;;;;;
212;2019-11-14;3321;Dallas/Fort Worth, TX;Del Rio, TX;335.0;-1.0;-14.0;;;;;
213;2019-11-14;3322;Del Rio, TX;Dallas/Fort Worth, TX;335.0;-12.0;-24.0;;;;;
214;2019-11-14;3323;Dallas/Fort Worth, TX;Lake Charles, LA;295.0;-5.0;-11.0;;;;;
215;2019-11-14;3323;Lake Charles, LA;Dallas/Fort Worth, TX;295.0;-12.0;-10.0;;;;;
216;2019-11-14;3324;Dallas/Fort Worth, TX;Fayetteville, AR;280.0;-4.0;-2.0;;;;;
217;2019-11-14;3325;Dallas/Fort Worth, TX;Wilmington, NC;1106.0;-6.0;-23.0;;;;;
218;2019-11-14;3326;Dallas/Fort Worth, TX;Fargo, ND;968.0;-6.0;-4.0;;;;;
219;2019-11-14;3328;Chicago, IL;Pittsburgh, PA;413.0;-10.0;-23.0;;;;;
220;2019-11-14;3328;Pittsburgh, PA;Chicago, IL;413.0;-8.0;-17.0;;;;;
221;2019-11-14;3329;New Orleans, LA;Chicago, IL;836.0;10.0;7.0;;;;;
222;2019-11-14;3329;Chicago, IL;New Orleans, LA;836.0;13.0;15.0;0.0;13.0;2.0;0.0;0.0
223;2019-11-14;3330;New Orleans, LA;Chicago, IL;836.0;-6.0;-4.0;;;;;
224;2019-11-14;3331;Miami, FL;Norfolk, VA;802.0;-6.0;-22.0;;;;;
225;2019-11-14;3332;Columbus, OH;Miami, FL;990.0;-10.0;-23.0;;;;;
226;2019-11-14;3332;Miami, FL;Columbus, OH;990.0;-11.0;-27.0;;;;;
227;2019-11-14;3333;Dallas/Fort Worth, TX;Greer, SC;862.0;7.0;-1.0;;;;;
228;2019-11-14;3333;Greer, SC;Dallas/Fort Worth, TX;862.0;-4.0;-29.0;;;;;
229;2019-11-14;3334;Miami, FL;Pittsburgh, PA;1013.0;3.0;-15.0;;;;;
230;2019-11-14;3334;Pittsburgh, PA;Miami, FL;1013.0;-11.0;16.0;0.0;0.0;16.0;0.0;0.0
231;2019-11-14;3335;Greensboro/High Point, NC;New York, NY;461.0;52.0;24.0;22.0;0.0;0.0;0.0;2.0
232;2019-11-14;3336;New York, NY;Indianapolis, IN;665.0;31.0;23.0;0.0;0.0;0.0;0.0;23.0
233;2019-11-14;3337;Chicago, IL;Omaha, NE;416.0;-2.0;-5.0;;;;;
234;2019-11-14;3338;Dallas/Fort Worth, TX;Boise, ID;1272.0;-2.0;-7.0;;;;;
235;2019-11-14;3339;Billings, MT;Dallas/Fort Worth, TX;1081.0;-6.0;-10.0;;;;;
236;2019-11-14;3339;Dallas/Fort Worth, TX;Billings, MT;1081.0;-5.0;-13.0;;;;;
237;2019-11-14;3340;Dallas/Fort Worth, TX;Little Rock, AR;304.0;0.0;-7.0;;;;;
238;2019-11-14;3341;Chicago, IL;Raleigh/Durham, NC;646.0;-3.0;8.0;;;;;
239;2019-11-14;3341;Raleigh/Durham, NC;Chicago, IL;646.0;;;;;;;
240;2019-11-14;3342;Scranton/Wilkes-Barre, PA;Chicago, IL;632.0;-7.0;-37.0;;;;;
241;2019-11-14;3343;Charlotte, NC;Charlottesville, VA;245.0;-6.0;-18.0;;;;;
242;2019-11-14;3344;Dallas/Fort Worth, TX;Fort Smith, AR;227.0;-12.0;-26.0;;;;;
243;2019-11-14;3345;Tulsa, OK;Dallas/Fort Worth, TX;237.0;-3.0;-2.0;;;;;
244;2019-11-14;3346;Abilene, TX;Dallas/Fort Worth, TX;158.0;-3.0;-14.0;;;;;
245;2019-11-14;3347;Chicago, IL;Moline, IL;139.0;-5.0;0.0;;;;;
246;2019-11-14;3348;Chicago, IL;Waterloo, IA;234.0;-1.0;19.0;0.0;0.0;19.0;0.0;0.0
247;2019-11-14;3349;Boise, ID;Dallas/Fort Worth, TX;1272.0;-3.0;6.0;;;;;
248;2019-11-14;3351;Chicago, IL;Sioux City, IA;436.0;-2.0;7.0;;;;;
249;2019-11-14;3352;Buffalo, NY;Chicago, IL;473.0;-4.0;4.0;;;;;
250;2019-11-14;3352;Chicago, IL;Buffalo, NY;473.0;-3.0;-14.0;;;;;
251;2019-11-14;3353;Abilene, TX;Dallas/Fort Worth, TX;158.0;12.0;-1.0;;;;;
252;2019-11-14;3354;Norfolk, VA;New York, NY;296.0;-7.0;-29.0;;;;;
253;2019-11-14;3355;Dallas/Fort Worth, TX;Del Rio, TX;335.0;-6.0;-24.0;;;;;
